prob_cruza,prob_mut,porcentaje_elite,poblacion,generaciones,fitness_min,mejor_resultado
0.7,0.3,0.1,1000,100,0.9,46.66%
0.7,0.3,0.1,100,10,0.9,39.52%
0.8,0.3,0.1,100,10,0.9,40.95%
0.8,0.3,0.1,10,100,0.9,39.04%
0.8,0.3,0.1,100,100,0.9,44.28%
0.8,0.2,0.1,100,10,0.9,41.904761904761905%
0.8,0.2,0.1,1000,10,0.9,47.14285714285714%
0.8,0.2,0.1,500,50,0.9,44.761904761904766%
0.8,0.2,0.1,1000,10,0.9,43.80952380952381%
0.8,0.2,0.1,1000,30,0.9,43.333333333333336%
0.8,0.2,0.1,1000,50,0.9,44.761904761904766%
0.8,0.2,0.1,2000,100,0.9,45.714285714285715%
0.8,0.3,0.1,5000,100,0.9,47.14285714285714%
0.8,0.4,0.1,200,3000,0.9,49.047619047619044%
0.9,0.45,0.1,300,5000,0.9,50.95238095238095%
0.9,0.45,0.1,300,10,0.9,42.38095238095238%
0.9,0.45,0.1,300,20,0.9,40.95238095238095%
0.7,0.45,0.1,300,20,0.9,40.95238095238095%
0.7,0.45,0.1,300,20,0.9,44.285714285714285%
0.8,0.35,0.1,300,10000,0.9,50.95238095238095%
